"volume_id","book_id","chapter_id","verse_id","volume_title","book_title","volume_long_title","book_long_title","volume_subtitle","book_subtitle","volume_short_title","book_short_title","volume_lds_url","book_lds_url","chapter_number","verse_number","scripture_text","verse_title","verse_short_title"
"1","1","2","33","Old Testament","Genesis","The Old Testament","The First Book of Moses called Genesis","","","OT","Gen.","ot","gen","2","2","And on the seventh day God ended his work which he had made; and he rested on the seventh day from all his work which he had made.","Genesis 2:2","Gen. 2:2"
"1","1","2","34","Old Testament","Genesis","The Old Testament","The First Book of Moses called Genesis","","","OT","Gen.","ot","gen","2","3","And God blessed the seventh day, and sanctified it: because that in it he had rested from all his work which God created and made.","Genesis 2:3","Gen. 2:3"
"1","1","5","135","Old Testament","Genesis","The Old Testament","The First Book of Moses called Genesis","","","OT","Gen.","ot","gen","5","29","And he called his name Noah, saying, This same shall comfort us concerning our work and toil of our hands, because of the ground which the Lord hath cursed.","Genesis 5:29","Gen. 5:29"
"1","2","55","1637","Old Testament","Exodus","The Old Testament","The Second Book of Moses called Exodus","","","OT","Ex.","ot","ex","5","4","And the king of Egypt said unto them, Wherefore do ye, Moses and Aaron, let the people from their works? get you unto your burdens.","Exodus 5:4","Ex. 5:4"
"1","2","55","1642","Old Testament","Exodus","The Old Testament","The Second Book of Moses called Exodus","","","OT","Ex.","ot","ex","5","9","Let there more work be laid upon the men, that they may labour therein; and let them not regard vain words.","Exodus 5:9","Ex. 5:9"
"1","2","55","1644","Old Testament","Exodus","The Old Testament","The Second Book of Moses called Exodus","","","OT","Ex.","ot","ex","5","11","Go ye, get you straw where ye can find it: yet not ought of your work shall be diminished.","Exodus 5:11","Ex. 5:11"
"1","2","55","1646","Old Testament","Exodus","The Old Testament","The Second Book of Moses called Exodus","","","OT","Ex.","ot","ex","5","13","And the taskmasters hasted them, saying, Fulfil your works, your daily tasks, as when there was straw.","Exodus 5:13","Ex. 5:13"
"1","2","55","1651","Old Testament","Exodus","The Old Testament","The Second Book of Moses called Exodus","","","OT","Ex.","ot","ex","5","18","Go therefore now, and work; for there shall no straw be given you, yet shall ye deliver the tale of bricks.","Exodus 5:18","Ex. 5:18"
"1","2","62","1833","Old Testament","Exodus","The Old Testament","The Second Book of Moses called Exodus","","","OT","Ex.","ot","ex","12","16","And in the first day there shall be an holy convocation, and in the seventh day there shall be an holy convocation to you; no manner of work shall be done in them, save that which every man must eat, that only may be done of you.","Exodus 12:16","Ex. 12:16"
"1","2","64","1921","Old Testament","Exodus","The Old Testament","The Second Book of Moses called Exodus","","","OT","Ex.","ot","ex","14","31","And Israel saw that great work which the Lord did upon the Egyptians: and the people feared the Lord, and believed the Lord, and his servant Moses.","Exodus 14:31","Ex. 14:31"
